f0, b1, b2, b3, b4, b5, b6
22.235080, 0.1130, 2.143, 28.11, .69, 4.800, 1.00
67.803960, 0.0012, 8.735, 28.58, .69, 4.930, .82
119.995940, 0.0008, 8.356, 29.48, .70, 4.780, .79
183.310091, 2.4200, .668, 30.50, .64, 5.300, .85
321.225644, 0.0483, 6.181, 23.03, .67, 4.690, .54
325.152919, 1.4990, 1.540, 27.83, .68, 4.850, .74
336.222601, 0.0011, 9.829, 26.93, .69, 4.740, .61
380.197372, 11.5200, 1.048, 28.73, .54, 5.380, .89
390.134508, 0.0046, 7.350, 21.52, .63, 4.810, .55
437.346667, 0.0650, 5.050, 18.45, .60, 4.230, .48
439.150812, 0.9218, 3.596, 21.00, .63, 4.290, .52
443.018295, 0.1976, 5.050, 18.60, .60, 4.230, .50
448.001075, 10.3200, 1.405, 26.32, .66, 4.840, .67
470.888947, 0.3297, 3.599, 21.52, .66, 4.570, .65
474.689127, 1.2620, 2.381, 23.55, .65, 4.650, .64
488.491133, 0.2520, 2.853, 26.02, .69, 5.040, .72
503.568532, 0.0390, 6.733, 16.12, .61, 3.980, .43
504.482692, 0.0130, 6.733, 16.12, .61, 4.010, .45
547.676440, 9.7010, .114, 26.00, .70, 4.500, 1.00
552.020960, 14.7700, .114, 26.00, .70, 4.500, 1.00
556.936002, 487.4000, .159, 32.10, .69, 4.110, 1.00
620.700807, 5.0120, 2.200, 24.38, .71, 4.680, .68
645.866155, 0.0713, 8.580, 18.00, .60, 4.000, .50
658.005280, 0.3022, 7.820, 32.10, .69, 4.140, 1.00
752.033227, 239.6000, .396, 30.60, .68, 4.090, .84
841.053973, 0.0140, 8.180, 15.90, .33, 5.760, .45
859.962313, 0.1472, 7.989, 30.60, .68, 4.090, .84
899.306675, 0.0605, 7.917, 29.85, .68, 4.530, .90
902.616173, 0.0426, 8.432, 28.65, .70, 5.100, .95
906.207325, 0.1876, 5.111, 24.08, .70, 4.700, .53
916.171582, 8.3400, 1.442, 26.70, .70, 4.780, .78
923.118427, 0.0869, 10.220, 29.00, .70, 5.000, .80
970.315022, 8.9720, 1.920, 25.50, .64, 4.940, .67
987.926764, 132.1000, .258, 29.85, .68, 4.550, .90
1780.000000, 22300.0000, .952, 176.20, .50, 30.500, 5.00
